latinad_id,display_name,latitude,longitude
747,Movil 1 - DÃƒÂ­a completo,9.8738385,-83.90557881
749,Movil 2,9.86302587,-83.93035161
764,AEROPUERTO JUAN SANTAMARIA - TVÃ‚Â´s SALAS VIP - SANTAMARIA,9.99877485,-84.20391437
765,AEROPUERTO JUAN SANTAMARIA - TVÃ‚Â´s SALAS VIP - LOUNGE,9.99877485,-84.20391437
797,N3 - TOT - TOYS - T8L1PA* //DESCONECTADO X REMODELACION//,9.9935144,-84.1313159
910,Mercedes Uruguay,-33.24603129,-58.0300797
933,SABANA - PANTALLA EXTERNA - SABANA NORTE,9.93624612,-84.0978426
934,URUCA - PANTALLA EXTERNA - SOBRE TIENDA HONDA,9.94864058,-84.09765218
935,MULTIPLAZA CURRIDABAT - PANTALLA EXTERNA,9.9179965,-84.0468474
936,MULTIPLAZA CURRIDABAT - PANTALLA  FOOD COURT,9.9179965,-84.0468474
960,LINCOLN PLAZA - PANTALLA - FRENTE A PLAYGROUND,9.9623998,-84.0558916
961,LINCOLN PLAZA - PANTALLA - EXTERNA,9.96277458,-84.05656548
968,MALL SAN PEDRO - PANTALLA EXTERNA,9.9301517,-84.04232631
970,MULTI ESCAZU - PANTALLA INTERNA - FOODCOURT,9.9439637,-84.1503567
973,TERRAMALL - PANTALLA INTERNA - FOOD COURT,9.9020669,-83.9962491
974,TERRAMALL - PANTALLA EXTERNA - SOBRE RUTA 2,9.90130593,-83.99646368
983,MULTIPLAZA LA FELICIDAD - PANTALLA INTERNA - FOODCOURT,4.65214,-74.125266
1019,ANONOS CARA A - PANTALLA EXTERNA - SOBRE RUTA 27,9.93489054,-84.12088926
1020,ANONOS CARA B - PANTALLA EXTERNA - SOBRE RUTA 27,9.93484061,-84.12089464
1021,AVENIDA SEGUNDA - PANTALLA EXTERNA - FRENTE MUSEO NACIONAL,9.93204817,-84.07157507
1022,GENERAL CAÃƒâ€˜AS - PANTALLA EXTERNA - SOBRE RUTA 1,9.95795601,-84.11660938
1023,LINDORA - PANTALLA EXTERNA - CENTRO COMERCIAL VISTANA,9.9530297,-84.1937306
1024,OXIGENO CARA B - PANTALLA EXTERNA - RUTA 111,9.99481402,-84.12914868
1025,OUTLETMALL - PANTALLA EXTERNA - SAN PEDRO,9.9317793,-84.0525053
1028,SANTA ANA TOWN CENTER - PANTALLA EXTERNA - SOBRE RUTA 121,9.93457983,-84.18745185
1038,PASEO METROPOLI - PANTALLA INTERNA - FOOD COURT,9.8670895,-83.9425472
1061,OXIGENO - TOTEMS ESPECIALES - FRENTE A TIENDA EKONO (D5),9.9945066,-84.1312441
1062,OXIGENO - PANTALLA INTERNA - EXPEDITION (D2),9.9945066,-84.1312441
1063,OXIGENO - PANTALLA EXTERNA - DROP OFF (X2),9.9945066,-84.1312441
1064,OXIGENO  - PANTALLA INTERNA - FOOD COURT (D1),9.9945066,-84.1312441
1065,OXIGENO  - PANTALLA EXTERNA - ACCESO (X1),9.9945066,-84.1312441
1067,MULTICENTRO DESAMPARADOS - PANTALLA INTERNA FOOD COURT,9.8994811,-84.0685052
1131,ZAPOTE - PANTALLA EXTERNA - FRENTE A PLAZA ZAPOTE,9.9211952,-84.0557264
1170,TERMINAL DE BUSES SALITRE - ENTRADA PRINCIPAL #1,4.6532386,-74.1146288
