latinad_id,display_name,country,state_or_province,city,picture,latitude,longitude,location_type,open_ooh_venue_type_name_es,es_circuito,cantidad_pantallas_en_circuito,resolution_width,resolution_height,size_width_in_meters,size_height_in_meters,diagonal_size_in_inches,display_working_hours_per_day,slots,slot_length_in_seconds,plays_per_hour,plays_per_day,average_monthly_audience,impact_multiplier,currency,cpm_per_plays,conversion_rate_to_usd,cpm_per_plays_in_usd,cpm_per_impacts_in_usd,price_per_day_in_usd,use_latinad_player,free_slots_percentage,display_monthly_total_possible_income_in_usd,average_free_slots,display_monthly_possible_income_with_free_slots_in_usd,latinad_revenue,latinad_possible_monthly_revenue
51,Acceso Este. Ingreso a ciudad.,Argentina,Mendoza,Guaymallén,https://publinet-prod.s3.amazonaws.com/displays-pictures/51-5d8416b230653.jpg,-32.89684154,-68.83174528,outdoor,Autopista,no,,2016,672,21,7,871,16.5,90,10,4.00,66.00,331109,1.86,ARS,"$36,000.00",349.54991,$102.99,$55.43,$6.80,yes,52.46%,"$18,352.74",40%,"$7,341.10",16%,"$1,174.58"
96,Pantalla Led San Martin Sur,Argentina,Mendoza,Godoy Cruz,https://publinet-prod.s3.amazonaws.com/displays-pictures/96-5d49ae646b410.jpg,-32.93210304,-68.84978428,outdoor,Ciudad,no,,546,366,6,4,284,10.5,20,15,12.00,126.00,290342,3.84,ARS,"$24,000.00",349.54991,$68.66,$17.88,$8.65,yes,86.27%,"$5,190.68",40%,"$2,076.27",16%,$332.20
100,Led Ingreso Ciudad de Mendoza,Argentina,Mendoza,Guaymallén,https://publinet-prod.s3.amazonaws.com/displays-pictures/100-5d4987819e7c8.jpg,-32.89725556,-68.82880534,outdoor,Autopista,no,,576,336,6,4,284,14.5,35,15,6.86,99.43,600249,5.75,ARS,"$7,800.00",349.54991,$22.31,$3.88,$2.22,yes,49.96%,"$2,329.62",40%,$931.85,16%,$149.10
184,Km 0 General Alvear,Argentina,Mendoza,General Alvear,https://publinet-prod.s3.amazonaws.com/displays-pictures/184-5d498e134b77f.jpg,-34.97816569,-67.68883904,outdoor,Ciudad,no,,384,192,4,2,176,13,30,15,8.00,104.00,251231,2.68,ARS,"$6,600.00",349.54991,$18.88,$7.03,$1.96,yes,38.08%,"$1,767.30",40%,$706.92,16%,$113.11
185,Peatonal San Rafael,Argentina,Mendoza,San Rafael,https://publinet-prod.s3.amazonaws.com/displays-pictures/185-5d4990cf83a65.jpg,-34.61442382,-68.33073754,outdoor,Ciudad,no,,384,192,4,2,176,13.5,30,15,8.00,108.00,272717,2.81,ARS,"$6,600.00",349.54991,$18.88,$6.73,$2.04,yes,26.65%,"$1,835.27",40%,$734.11,16%,$117.46
199,Pantalla LED San Martin y Moreno,Argentina,Mendoza,Luján de Cuyo,https://publinet-prod.s3.amazonaws.com/displays-pictures/199-5d4586ca65177.jpg,-33.03652033,-68.87927702,outdoor,Ciudad,no,,288,192,4,3,197,16,40,10,9.00,144.00,281587,1.63,ARS,"$8,400.00",349.54991,$24.03,$14.75,$3.46,yes,73.96%,"$4,152.54",40%,"$1,661.02",16%,$265.76
313,Rotonda Ingreso a San Rafael,Argentina,Mendoza,San Rafael,https://publinet-prod.s3.amazonaws.com/displays-pictures/313-616970b418952.jpg,-34.61244242,-68.32363129,outdoor,Autopista,no,,864,288,9,3,373,11.5,35,15,6.86,78.86,276790,3.34,ARS,"$6,600.00",349.54991,$18.88,$5.65,$1.49,yes,33.07%,"$1,563.38",40%,$625.35,16%,$100.06
315,"Ruta Panamericana, Rotonda Chacras de Coria frente Chacras Park",Argentina,Mendoza,Las Heras,https://publinet-prod.s3.amazonaws.com/displays-pictures/315-5f73b897a1f79.jpg,-32.96888746,-68.87809753,outdoor,Autopista,no,,600,840,6,9,426,16,35,11,9.35,149.61,60310,0.38,ARS,"$21,335.42",349.54991,$61.04,$158.98,$9.13,yes,49.15%,"$9,588.33",40%,"$3,835.33",16%,$613.65
331,Palmares,Argentina,Mendoza,Godoy Cruz,https://publinet-prod.s3.amazonaws.com/displays-pictures/331-5d8d330a4231c.jpg,-32.95463441,-68.85651485,outdoor,Ciudad,no,,1176,672,7,4,317,16,90,10,4.00,64.00,412573,2.39,ARS,"$9,600.00",349.54991,$27.46,$11.50,$1.76,yes,51.07%,"$4,745.76",40%,"$1,898.30",16%,$303.73
337,Maipú,Argentina,Mendoza,Maipú,https://publinet-prod.s3.amazonaws.com/displays-pictures/337-5d76628565fd6.jpg,-32.97958764,-68.79656893,outdoor,Ciudad,no,,240,360,4,6,284,15,60,10,6.00,90.00,295726,1.83,ARS,"$9,600.00",349.54991,$27.46,$15.04,$2.47,yes,37.01%,"$4,449.15",40%,"$1,779.66",16%,$284.75
