latinad_id,display_name,country,state_or_province,city,picture,holding,empresa,latitude,longitude,location_type,open_ooh_venue_type_name_es,es_circuito,cantidad_pantallas_en_circuito,resolution_width,resolution_height,size_width_in_meters,size_height_in_meters,diagonal_size_in_inches,display_working_hours_per_day,slots,slot_length_in_seconds,plays_per_hour,plays_per_day,average_monthly_audience,impact_multiplier,currency,price_per_day,cpm_per_plays,conversion_rate_to_usd,price_per_day_in_usd,cpm_per_plays_in_usd,use_latinad_player,free_slots_percentage
51,Acceso Este. Ingreso a ciudad.,Argentina,Mendoza,GuaymallÃ©n,https://publinet-prod.s3.amazonaws.com/displays-pictures/51-5d8416b230653.jpg,10 Media,10 Media,-32.89684154,-68.83174528,outdoor,Autopista,no,,2016,672,21,7,871,16.5,90,10,4,66,331109,1.85807519,ARS,2400,36000,349.6877,6.863266852,102.9490028,yes,0.6174
331,Palmares,Argentina,Mendoza,Godoy Cruz,https://publinet-prod.s3.amazonaws.com/displays-pictures/331-5d8d330a4231c.jpg,10 Media,10 Media,-32.95463441,-68.85651485,outdoor,Ciudad,no,,1176,672,7,4,317,16,90,10,4,64,412573,2.38757523,ARS,1600,9600,349.6877,4.57551112,27.45306741,yes,0.6433
423,Nudo vial,Argentina,Mendoza,GuaymallÃ©n,https://publinet-prod.s3.amazonaws.com/displays-pictures/423-5d92216f03144.jpg,LatinAd,Nexo,-32.89634974,-68.83243778,outdoor,Autopista,no,,720,432,5,3,230,16.5,40,10,9,148.5,1929703,10.82886083,ARS,4240,48600,349.6877,12.12510466,138.9811538,yes,0
424,Led 9 de Julio y Rivadavia,Argentina,Mendoza,Capital,https://publinet-prod.s3.amazonaws.com/displays-pictures/424-5d853d68e652a.jpg,LatinAd,Nexo,-32.89145818,-68.84097659,outdoor,Ciudad,no,,432,288,3,2,142,16.5,30,10,12,198,468435,2.6287037,ARS,3160,33600,349.6877,9.036634574,96.08573593,yes,0.0053
506,L094 - Pellegrini y Corrientes,Argentina,Santa Fe,Rosario,https://publinet-prod.s3.amazonaws.com/displays-pictures/506-5f4e98cbb13a0.jpg,LatinAd,Netcom,-32.95646294,-60.64479699,outdoor,Ciudad,no,,840,600,7,5,339,19,36,10,10,190,1255342,6.11765107,ARS,3800,60000,349.6877,10.8668393,171.5816713,yes,0.4222
544,Lujan (Terramalva),Argentina,Mendoza,LujÃ¡n de Cuyo,https://publinet-prod.s3.amazonaws.com/displays-pictures/544-5e42b01a3cd83.jpg,10 Media,10 Media,-33.0347974,-68.89575083,outdoor,Ciudad,no,,288,288,3,3,167,15.5,30,10,12,186,173695,1.03760454,ARS,1600,9600,349.6877,4.57551112,27.45306741,yes,0.8437
548,L056 - Avellaneda y Santa Fe,Argentina,Santa Fe,Rosario,https://publinet-prod.s3.amazonaws.com/displays-pictures/548-5f4faf0f3a58f.jpg,LatinAd,Netcom,-32.93780033,-60.67920211,outdoor,Ciudad,no,,480,240,5,3,230,17,36,10,10,170,1038998,5.6590305,ARS,3000,48000,349.6877,8.579083565,137.265337,yes,0.6514
588,Alvear,Argentina,CÃ³rdoba,Capital,https://publinet-prod.s3.amazonaws.com/displays-pictures/588-5e78dde94f193.jpg,LatinAd,7Sentidos,-31.4088021,-64.177985,outdoor,Ciudad,no,,480,240,5,3,230,18,35.9998,15,6.67,120,266833,2.0588966,ARS,3596,120000,349.6877,10.28346161,343.1633426,yes,0
605,Av. Velez Sarsfield,Argentina,CÃ³rdoba,Capital,https://publinet-prod.s3.amazonaws.com/displays-pictures/605-5e78e90c484e6.jpg,LatinAd,7Sentidos,-31.41538327,-64.18673584,outdoor,Ciudad,no,,480,256,5,3,230,18,35.9998,15,6.67,120,190546,1.47026234,ARS,3596,120000,349.6877,10.28346161,343.1633426,yes,0
606,Bv. San Juan,Argentina,CÃ³rdoba,Capital,https://publinet-prod.s3.amazonaws.com/displays-pictures/606-5e78da49da182.jpg,LatinAd,7Sentidos,-31.41961021,-64.19030768,outdoor,Ciudad,no,,600,360,5,3,230,18,35.9998,15,6.67,120,432766,3.33924383,ARS,3596,120000,349.6877,10.28346161,343.1633426,yes,0
607,Bv. Las Heras,Argentina,CÃ³rdoba,Capital,https://publinet-prod.s3.amazonaws.com/displays-pictures/607-5e78d91e3fca0.jpg,LatinAd,7Sentidos,-31.40529289,-64.1935582,outdoor,Ciudad,no,,480,288,5,3,230,18,35.9998,15,6.67,120,617506,4.76470679,ARS,3596,120000,349.6877,10.28346161,343.1633426,yes,0
608,Av. Chacabuco,Argentina,CÃ³rdoba,Capital,https://publinet-prod.s3.amazonaws.com/displays-pictures/608-5e78d7dbe69a8.jpg,LatinAd,7Sentidos,-31.42180881,-64.18208282,outdoor,Ciudad,no,,600,360,5,3,230,18,35.9998,15,6.67,120,999188,7.70978394,ARS,3596,120000,349.6877,10.28346161,343.1633426,yes,0
609,Av. Colon,Argentina,CÃ³rdoba,Capital,https://publinet-prod.s3.amazonaws.com/displays-pictures/609-5e78d5fbbf561.jpg,LatinAd,7Sentidos,-31.4120849,-64.18843927,outdoor,Ciudad,no,,480,288,5,3,230,18,35.9998,15,6.67,120,1173279,9.0530787,ARS,3596,120000,349.6877,10.28346161,343.1633426,yes,0
610,Av. Recta Martinolli,Argentina,CÃ³rdoba,Capital,https://publinet-prod.s3.amazonaws.com/displays-pictures/610-5e78d378e43fd.jpg,LatinAd,7Sentidos,-31.34716692,-64.27204951,outdoor,Ciudad,no,,480,288,5,3,230,18,35.9998,15,6.67,120,521469,4.02368055,ARS,3596,120000,349.6877,10.28346161,343.1633426,yes,0
611,Nudo Vial Cerro,Argentina,CÃ³rdoba,Capital,https://publinet-prod.s3.amazonaws.com/displays-pictures/611-5e78d1d3c348a.jpg,LatinAd,7Sentidos,-31.36022215,-64.22682833,outdoor,Ciudad,no,,480,256,5,3,230,18,35.9998,15,6.67,120,745549,5.7526929,ARS,3596,120000,349.6877,10.28346161,343.1633426,yes,0
612,Intercountries,Argentina,CÃ³rdoba,ColÃ³n,https://publinet-prod.s3.amazonaws.com/displays-pictures/612-5e78cf9bba8d5.jpg,LatinAd,7Sentidos,-31.36246325,-64.31039886,outdoor,Ciudad,no,,480,240,5,3,230,18,35.9998,15,6.67,120,417165,3.21886574,ARS,3596,120000,349.6877,10.28346161,343.1633426,yes,0
613,Villa Allende,Argentina,CÃ³rdoba,ColÃ³n,https://publinet-prod.s3.amazonaws.com/displays-pictures/613-5e78ce2098724.jpg,LatinAd,7Sentidos,-31.29893291,-64.28726695,outdoor,Ciudad,no,,480,256,5,3,230,18,35.9998,15,6.67,120,873458,6.73964505,ARS,3596,120000,349.6877,10.28346161,343.1633426,yes,0
614,Shopping VAS,Argentina,CÃ³rdoba,ColÃ³n,https://publinet-prod.s3.amazonaws.com/displays-pictures/614-5e78cc5d32f6a.jpg,LatinAd,7Sentidos,-31.30026103,-64.27785941,outdoor,Ciudad,no,,576,384,5,3,230,18,35.9998,15,6.67,120,1384052,10.67941358,ARS,3596,120000,349.6877,10.28346161,343.1633426,yes,0
615,Av. La Voz del Interior,Argentina,CÃ³rdoba,Capital,https://publinet-prod.s3.amazonaws.com/displays-pictures/615-5e727dd86ccac.jpg,LatinAd,7Sentidos,-31.3374283,-64.2077026,outdoor,Ciudad,no,,480,288,5,3,230,18,35.9998,15,6.67,120,1351792,10.43049383,ARS,3596,120000,349.6877,10.28346161,343.1633426,yes,0
616,Av. Juan B Justo,Argentina,CÃ³rdoba,Capital,https://publinet-prod.s3.amazonaws.com/displays-pictures/616-5e727d9796675.jpg,LatinAd,7Sentidos,-31.38059623,-64.17610124,outdoor,Ciudad,no,,480,288,5,3,230,18,35.9998,15,6.67,120,836227,6.45236882,ARS,3596,120000,349.6877,10.28346161,343.1633426,yes,0
